ID,AgeGroup,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive_Fraction,SS_Fraction,Alcohol,Caffeine,Cannabis,Cocaine
25,55 - 64,Male,University degree,UK,White,34,44,54,48,51,18.83,11.19,Used,Used,Used,Used
26,45 - 54,Male,Some college or university,UK,White,28,37,37,49,42,18.83,13.21,Used,Used,Used,Used
27,55 - 64,Female,Left school at 18 years,Canada ,White,35,28,24,38,46,13.63,4.62,Used,Used,Used, Never Used
28,35 - 44,Male,University degree,UK,White,41,31,46,43,25,5.52,13.21,Used,Used,Used,Used
29,35 - 44,Female,Masters degree,UK,White,36,29,41,45,50,13.63,11.19,Used,Used,Used, Never Used
30,45 - 54,Male,Doctorate degree,UK,White,24,51,52,49,53,18.83,11.19, Never Used,Used, Never Used, Never Used
31,45 - 54,Male,Left school at 16 years,UK,White,39,34,37,33,37,14.64,11.62,Used,Used,Used,Used
32,35 - 44,Female,Left school at 16 years,Other,White,25,34,47,39,42,14.64,8.97,Used,Used, Never Used, Never Used
33,35 - 44,Male,University degree,UK,White,28,31,46,46,42,13.63,8.97,Used,Used,Used, Never Used
34,18 - 24,Male,University degree,UK,White,40,38,48,51,41,16.29,4.62,Used,Used, Never Used, Never Used
35,35 - 44,Male,University degree,USA,Other,46,44,52,23,36,11.46,5.46,Used,Used,Used,Used
36,65+,Male,Left school before 16 years,UK,White,33,34,28,41,36,11.46,4.62,Used,Used, Never Used, Never Used
37,35 - 44,Male,University degree,UK,White,33,36,45,43,30,18.83,11.83,Used,Used, Never Used, Never Used
38,55 - 64,Male,Left school before 16 years,USA,White,39,42,53,44,37,11.46,11.19,Used,Used,Used,Used
39,45 - 54,Male,University degree,UK,White,22,48,48,43,47,18.83,8.97,Used,Used,Used, Never Used
40,65+,Female,Professional certificate/ diploma,UK,White,33,33,38,38,45,14.64,11.83,Used,Used,Used, Never Used
41,35 - 44,Male,Masters degree,UK,White,36,37,46,29,47,16.29,11.62,Used,Used, Never Used, Never Used
42,35 - 44,Female,University degree,UK,White,44,40,53,54,39,18.83,11.83,Used,Used, Never Used, Never Used
43,35 - 44,Male,Masters degree,UK,White,34,33,37,43,37,18.83,11.19,Used,Used,Used,Used
44,35 - 44,Male,Professional certificate/ diploma,UK,White,27,36,44,42,34,18.83,11.83,Used,Used,Used,Used
45,25 - 34,Male,University degree,UK,Other,26,49,49,51,48,18.83,11.62,Used,Used, Never Used, Never Used
46,25 - 34,Female,University degree,UK,White,31,43,54,49,52,14.64,3.77,Used,Used, Never Used, Never Used
47,45 - 54,Female,Some college or university,Canada ,White,39,44,38,45,51,16.29,8.97,Used,Used,Used, Never Used
48,45 - 54,Male,Masters degree,UK,White,19,45,48,49,49,1.06,7,Used,Used,Used, Never Used
49,45 - 54,Male,Left school at 16 years,UK,White,37,34,44,42,37,13.63,8.97,Used,Used,Used,Used
50,25 - 34,Female,Masters degree,UK,Mixed-White/Black,44,36,32,37,44,11.46,11.14,Used,Used, Never Used, Never Used
51,35 - 44,Male,Masters degree,UK,White,46,39,45,35,42,16.29,8.97,Used,Used,Used,Used
52,45 - 54,Male,Professional certificate/ diploma,Canada ,White,47,46,42,37,27,5.52,5.46,Used,Used,Used,Used
53,55 - 64,Female,University degree,UK,White,34,40,36,45,36,11.46,4.62,Used,Used, Never Used, Never Used
54,45 - 54,Male,Masters degree,UK,White,23,39,53,45,44,18.83,11.83,Used,Used,Used,Used
55,55 - 64,Male,Left school at 16 years,UK,White,36,47,42,36,33,7.85,11.14,Used,Used,Used,Used
56,55 - 64,Female,Professional certificate/ diploma,UK,White,36,35,38,40,39,14.64,3.77,Used,Used, Never Used, Never Used
57,35 - 44,Female,Some college or university,UK,White,36,40,34,43,44,14.64,4.62,Used,Used, Never Used, Never Used
58,25 - 34,Female,University degree,UK,White,30,44,32,45,47,16.29,11.19,Used,Used, Never Used, Never Used
59,45 - 54,Male,Left school at 18 years,UK,White,38,44,46,40,39,5.52,11.14,Used,Used,Used,Used
60,45 - 54,Male,University degree,UK,White,31,31,37,32,41,14.64,4.62,Used,Used, Never Used, Never Used
61,25 - 34,Female,Doctorate degree,UK,White,49,42,48,41,40,14.64,11.62,Used,Used, Never Used, Never Used
62,45 - 54,Male,Masters degree,UK,Asian,18,50,54,44,50,14.64,7,Used,Used,Used, Never Used
63,25 - 34,Male,University degree,UK,White,30,30,33,34,45,14.64,7,Used,Used, Never Used, Never Used
64,45 - 54,Male,University degree,UK,White,46,38,41,39,42,14.64,7,Used,Used, Never Used, Never Used
65,45 - 54,Male,Doctorate degree,UK,White,22,43,53,40,48,14.64,11.19,Used,Used,Used,Used
66,35 - 44,Male,Some college or university,UK,White,43,43,40,50,46,11.46,11.83,Used,Used, Never Used, Never Used
67,45 - 54,Male,Left school at 16 years,UK,White,26,35,38,51,45,16.29,7,Used, Never Used, Never Used, Never Used
68,25 - 34,Male,Masters degree,UK,White,32,38,53,37,41,10.34,11.83,Used,Used,Used,Used
69,35 - 44,Male,Professional certificate/ diploma,Other,White,27,40,48,42,40,18.83,11.62,Used,Used,Used,Used
70,45 - 54,Female,Left school at 16 years,UK,White,35,35,34,45,42,14.64,8.97,Used,Used, Never Used, Never Used
71,25 - 34,Male,Some college or university,UK,White,32,38,47,30,40,11.46,11.19,Used,Used,Used,Used
72,45 - 54,Female,Left school at 18 years,Canada ,White,31,47,44,50,43,1.06,8.97,Used,Used,Used, Never Used
73,45 - 54,Male,Left school at 18 years,UK,White,22,46,46,46,48,13.63,13.21,Used,Used,Used, Never Used
74,45 - 54,Male,Professional certificate/ diploma,UK,White,29,36,44,45,49,16.29,11.83,Used,Used, Never Used, Never Used
75,65+,Female,Left school at 16 years,UK,White,25,27,26,33,44,11.46,3.77,Used,Used, Never Used, Never Used
76,25 - 34,Male,University degree,UK,White,34,41,35,38,39,11.46,11.83,Used,Used,Used, Never Used
77,45 - 54,Female,Left school at 17 years,Canada ,White,32,35,35,46,46,1.06,3.77,Used,Used, Never Used, Never Used
78,35 - 44,Male,University degree,UK,White,37,28,42,35,39,18.83,3.77,Used,Used,Used,Used
79,35 - 44,Male,Some college or university,UK,White,28,34,31,32,25,1.06,7,Used,Used,Used,Used
80,35 - 44,Male,Professional certificate/ diploma,UK,White,32,34,32,50,37,18.83,11.83,Used,Used, Never Used, Never Used
81,65+,Female,Doctorate degree,Canada ,White,36,42,49,42,51,18.83,11.83,Used,Used,Used,Used
82,55 - 64,Female,University degree,UK,White,28,31,46,37,41,10.34,13.21,Used,Used,Used,Used
83,55 - 64,Male,Masters degree,Canada ,White,19,49,39,47,51,18.83,7,Used,Used, Never Used, Never Used
84,55 - 64,Female,Left school at 17 years,UK,Mixed-White/Black,46,33,38,52,29,13.63,11.83,Used,Used,Used, Never Used
85,45 - 54,Male,Left school at 16 years,UK,White,32,41,44,41,41,14.64,11.62,Used,Used,Used, Never Used
86,25 - 34,Female,Left school at 18 years,UK,White,31,40,35,44,45,11.46,11.14,Used,Used,Used, Never Used
87,35 - 44,Male,Some college or university,UK,White,43,39,38,44,41,18.83,13.21,Used,Used,Used, Never Used
88,55 - 64,Male,Left school at 16 years,UK,White,27,41,43,41,44,16.29,13.21,Used,Used,Used, Never Used
89,35 - 44,Female,Some college or university,UK,White,39,26,36,38,38,14.64,3.77,Used,Used,Used, Never Used
90,35 - 44,Female,Masters degree,UK,White,45,36,48,39,40,11.46,11.83,Used,Used, Never Used, Never Used
91,35 - 44,Female,Masters degree,UK,White,49,42,51,45,36,14.64,11.62,Used,Used,Used, Never Used
92,35 - 44,Male,Professional certificate/ diploma,Canada ,White,40,37,51,45,47,10.34,11.19,Used,Used,Used, Never Used
93,25 - 34,Male,Left school at 18 years,UK,White,22,38,43,45,42,16.29,8.97,Used,Used,Used, Never Used
94,65+,Female,Left school at 16 years,UK,White,34,34,39,48,45,14.64,4.62,Used,Used, Never Used, Never Used
95,45 - 54,Male,Masters degree,UK,White,29,36,39,47,41,14.64,3.77,Used,Used,Used, Never Used
96,45 - 54,Male,Masters degree,UK,White,31,42,53,32,49,11.46,11.83,Used,Used,Used,Used
97,35 - 44,Female,University degree,Canada ,White,37,32,48,42,47,14.64,4.62,Used,Used,Used,Used
98,45 - 54,Female,Masters degree,UK,White,31,44,44,39,33,13.63,8.97,Used,Used,Used,Used
99,35 - 44,Male,Doctorate degree,Canada ,White,25,37,46,39,48,18.83,11.14,Used,Used,Used,Used
100,25 - 34,Female,University degree,UK,White,29,58,51,49,52,11.46,13.21,Used,Used,Used, Never Used
101,25 - 34,Male,Masters degree,Other,White,26,55,50,33,39,18.83,11.14,Used,Used,Used,Used
102,45 - 54,Female,Left school at 16 years,Australia,White,30,43,34,42,48,14.64,8.97,Used,Used,Used, Never Used
103,45 - 54,Male,Left school at 18 years,UK,White,30,48,55,34,42,16.29,11.14,Used,Used,Used,Used
104,45 - 54,Female,Professional certificate/ diploma,Canada ,White,36,44,44,41,43,13.63,11.19,Used,Used, Never Used, Never Used
105,25 - 34,Female,Some college or university,Canada ,White,27,41,45,50,46,16.29,11.62,Used,Used,Used,Used
106,35 - 44,Male,Professional certificate/ diploma,UK,White,18,43,33,38,54,14.64,4.62,Used,Used, Never Used, Never Used
107,25 - 34,Female,Some college or university,UK,White,46,38,33,45,39,14.64,8.97,Used,Used, Never Used, Never Used
108,35 - 44,Female,Left school at 16 years,UK,White,37,40,37,38,46,11.46,11.83,Used,Used, Never Used,Used
109,25 - 34,Female,University degree,UK,White,31,53,47,44,47,5.52,11.14,Used,Used,Used,Used
110,45 - 54,Female,Some college or university,UK,White,28,43,36,37,38,16.29,11.62,Used,Used,Used, Never Used
111,45 - 54,Male,Masters degree,UK,Asian,34,42,47,41,41,13.63,11.19,Used,Used, Never Used, Never Used
112,25 - 34,Male,Masters degree,UK,White,39,32,40,39,37,13.63,13.21,Used,Used,Used, Never Used
113,25 - 34,Female,University degree,UK,White,25,42,52,35,36,18.83,11.83,Used,Used,Used, Never Used
114,45 - 54,Female,Professional certificate/ diploma,UK,White,36,44,48,44,47,13.63,11.83,Used,Used,Used, Never Used
115,35 - 44,Male,Some college or university,UK,White,17,52,55,38,31,5.52,11.14,Used,Used,Used,Used
116,25 - 34,Female,Professional certificate/ diploma,Canada ,White,38,36,40,45,49,14.64,3.77,Used,Used,Used,Used
117,35 - 44,Male,Professional certificate/ diploma,Canada ,White,42,36,47,31,39,11.46,11.83,Used,Used,Used, Never Used
118,25 - 34,Female,University degree,UK,White,51,45,55,44,33,11.46,13.21,Used,Used,Used,Used
119,35 - 44,Female,Some college or university,USA,White,53,26,29,50,44,18.83,4.62,Used,Used,Used, Never Used
120,35 - 44,Female,University degree,UK,White,32,44,39,45,51,18.83,8.97,Used,Used, Never Used, Never Used
121,25 - 34,Female,Masters degree,UK,White,26,44,39,36,47,13.63,5.46,Used,Used,Used, Never Used
122,35 - 44,Female,Professional certificate/ diploma,UK,White,50,31,35,29,36,11.46,11.62,Used,Used, Never Used, Never Used
123,55 - 64,Male,Masters degree,UK,White,38,41,45,41,35,18.83,11.19,Used,Used,Used, Never Used
124,25 - 34,Female,University degree,UK,White,38,35,43,43,43,7.85,11.62,Used,Used,Used,Used
125,45 - 54,Male,Left school at 16 years,UK,White,32,52,48,46,46,18.83,11.83,Used,Used, Never Used, Never Used
126,55 - 64,Male,University degree,UK,White,31,48,49,44,49,11.46,13.21,Used,Used, Never Used, Never Used
127,45 - 54,Male,University degree,UK,White,25,44,38,40,42,18.83,8.97,Used,Used,Used, Never Used
128,45 - 54,Female,Left school at 17 years,UK,White,32,34,40,45,48,14.64,3.77,Used, Never Used, Never Used, Never Used
129,35 - 44,Male,Doctorate degree,UK,Asian,36,44,47,44,44,18.83,7, Never Used,Used, Never Used, Never Used
130,45 - 54,Female,Masters degree,UK,White,28,46,38,49,45,13.63,13.21,Used,Used, Never Used, Never Used
131,45 - 54,Female,Left school at 16 years,UK,White,45,42,36,46,55,16.29,7,Used,Used, Never Used, Never Used
132,45 - 54,Female,Left school at 16 years,UK,Other,22,39,37,57,46,14.64,3.77,Used,Used, Never Used, Never Used
133,35 - 44,Female,Left school at 18 years,Ireland,White,33,36,42,42,44,14.64,4.62,Used,Used, Never Used, Never Used
134,35 - 44,Male,Masters degree,UK,White,35,41,48,42,43,11.46,13.21,Used,Used,Used, Never Used
135,25 - 34,Female,Masters degree,UK,Mixed-White/Asian,60,29,44,47,37,14.64,13.21,Used,Used,Used,Used
136,35 - 44,Female,Left school at 16 years,UK,White,21,50,42,54,52,11.46,11.19,Used,Used, Never Used, Never Used
137,45 - 54,Female,University degree,UK,White,34,38,34,54,52,7.85,11.62,Used,Used,Used, Never Used
138,45 - 54,Female,University degree,UK,White,25,50,48,48,45,1.06,7,Used,Used, Never Used, Never Used
139,55 - 64,Male,University degree,UK,White,31,34,47,45,48,14.64,7,Used,Used,Used, Never Used
140,45 - 54,Male,Left school at 16 years,UK,White,35,42,42,49,40,18.83,11.83,Used,Used,Used, Never Used
141,25 - 34,Female,University degree,UK,Asian,54,42,55,49,40,16.29,11.83,Used,Used, Never Used, Never Used
142,35 - 44,Female,Left school at 16 years,UK,White,28,44,38,51,46,14.64,3.77,Used,Used, Never Used, Never Used
143,35 - 44,Male,Left school at 17 years,UK,White,31,38,37,45,41,11.46,13.21,Used,Used,Used, Never Used
144,35 - 44,Male,Professional certificate/ diploma,UK,Black,21,48,42,51,54,16.29,11.19,Used,Used, Never Used, Never Used
145,45 - 54,Male,Professional certificate/ diploma,Canada ,White,37,32,43,35,42,18.83,11.19,Used,Used,Used, Never Used
146,45 - 54,Female,University degree,UK,White,31,41,38,56,47,7.85,13.21,Used,Used,Used, Never Used
147,55 - 64,Male,Professional certificate/ diploma,UK,White,38,31,45,40,40,13.63,7,Used,Used,Used, Never Used
148,35 - 44,Male,Masters degree,UK,Black,30,43,41,44,48,18.83,11.19,Used,Used, Never Used, Never Used
149,35 - 44,Female,Professional certificate/ diploma,UK,White,35,32,28,37,44,14.64,4.62,Used,Used, Never Used, Never Used
150,45 - 54,Female,University degree,UK,White,28,52,41,55,52,18.83,7,Used,Used,Used, Never Used
151,35 - 44,Female,Some college or university,UK,White,33,48,47,47,49,13.63,11.62,Used,Used, Never Used, Never Used
152,35 - 44,Female,University degree,UK,White,41,28,33,46,35,16.29,8.97,Used,Used,Used, Never Used
153,25 - 34,Female,University degree,UK,White,31,29,41,39,37,1.06,4.62,Used,Used,Used,Used
154,25 - 34,Male,University degree,UK,White,29,46,34,48,47,18.83,11.19,Used,Used,Used, Never Used
155,18 - 24,Female,Some college or university,UK,White,59,30,51,40,46,18.83,11.19,Used,Used, Never Used, Never Used
156,35 - 44,Female,University degree,UK,Black,42,30,37,45,40,16.29,8.97,Used,Used, Never Used, Never Used
157,35 - 44,Female,Some college or university,UK,White,48,40,44,50,43,13.63,11.19,Used,Used,Used,Used
158,25 - 34,Male,Left school at 16 years,UK,White,26,47,33,40,47,18.83,11.19,Used,Used, Never Used, Never Used
159,35 - 44,Female,University degree,Australia,White,33,41,44,41,45,10.34,11.14,Used,Used, Never Used, Never Used
160,45 - 54,Female,Some college or university,UK,Black,31,36,42,44,44,18.83,7,Used,Used, Never Used, Never Used
161,45 - 54,Male,Masters degree,Other,White,46,45,49,42,44,18.83,13.21,Used,Used,Used,Used
162,35 - 44,Male,University degree,UK,Black,29,42,40,54,39,16.29,7,Used,Used, Never Used, Never Used
163,25 - 34,Female,University degree,New Zealand,White,38,40,45,53,48,14.64,11.83,Used,Used,Used, Never Used
164,25 - 34,Female,Some college or university,UK,White,53,40,44,49,43,18.83,8.97,Used,Used, Never Used, Never Used
165,25 - 34,Female,Doctorate degree,UK,White,37,42,35,52,49,14.64,11.19,Used,Used,Used, Never Used
166,45 - 54,Male,Masters degree,UK,White,33,38,44,40,52,14.64,8.97,Used,Used,Used, Never Used
167,18 - 24,Male,Some college or university,UK,White,50,31,51,27,27,10.34,11.62,Used,Used,Used,Used
168,25 - 34,Female,Professional certificate/ diploma,UK,Black,36,40,39,40,48,11.46,11.19,Used,Used, Never Used, Never Used
169,25 - 34,Female,University degree,UK,White,38,48,37,41,33,11.46,13.21,Used,Used, Never Used,Used
170,18 - 24,Female,Left school at 18 years,UK,White,32,40,36,47,41,16.29,13.21,Used,Used, Never Used, Never Used
171,45 - 54,Male,Left school at 16 years,UK,White,49,38,44,44,41,10.34,13.21,Used,Used,Used,Used
172,35 - 44,Male,Masters degree,UK,White,32,46,58,48,36,7.85,5.46,Used,Used,Used, Never Used
173,45 - 54,Female,Professional certificate/ diploma,UK,White,41,36,43,40,47,13.63,7,Used,Used,Used, Never Used
174,35 - 44,Female,University degree,UK,White,46,44,54,44,44,11.46,13.21,Used,Used, Never Used, Never Used
175,35 - 44,Female,Professional certificate/ diploma,UK,White,46,36,30,48,30,10.34,11.62,Used,Used, Never Used, Never Used
176,55 - 64,Female,University degree,UK,White,42,40,49,51,43,13.63,11.62,Used,Used,Used, Never Used
177,35 - 44,Female,University degree,UK,Other,34,36,40,35,38,14.64,7,Used,Used, Never Used, Never Used
178,35 - 44,Female,University degree,UK,White,50,40,37,37,49,16.29,11.19,Used,Used, Never Used, Never Used
179,45 - 54,Female,University degree,UK,White,44,33,43,48,41,13.63,11.83,Used,Used,Used, Never Used
180,35 - 44,Female,Professional certificate/ diploma,UK,White,40,39,39,50,37,14.64,7,Used,Used,Used,Used
181,45 - 54,Female,Professional certificate/ diploma,UK,White,39,44,35,45,48,13.63,11.62,Used,Used, Never Used, Never Used
182,25 - 34,Male,Doctorate degree,UK,White,24,37,44,47,48,16.29,7,Used,Used, Never Used, Never Used
183,35 - 44,Female,Some college or university,UK,White,39,45,44,51,47,14.64,7,Used, Never Used, Never Used, Never Used
184,18 - 24,Female,University degree,UK,White,54,37,48,38,48,16.29,13.21,Used,Used, Never Used,Used
185,55 - 64,Male,Left school at 18 years,UK,White,36,34,39,47,44,14.64,7,Used,Used, Never Used, Never Used
186,35 - 44,Female,University degree,Canada ,White,39,44,46,48,41,18.83,11.19,Used,Used,Used,Used
187,35 - 44,Female,Masters degree,UK,White,29,49,47,45,53,14.64,4.62,Used,Used,Used, Never Used
188,55 - 64,Female,Left school at 16 years,UK,White,28,34,32,50,46,14.64,4.62,Used,Used,Used, Never Used
189,45 - 54,Female,Left school at 16 years,UK,White,40,30,31,47,40,14.64,3.77,Used,Used, Never Used, Never Used
190,18 - 24,Female,Masters degree,UK,White,32,40,43,44,47,16.29,8.97,Used,Used,Used, Never Used
191,55 - 64,Female,Professional certificate/ diploma,UK,White,23,40,40,47,40,16.29,4.62,Used,Used, Never Used, Never Used
192,18 - 24,Male,University degree,UK,Mixed-White/Asian,32,48,38,47,38,11.46,11.62,Used,Used,Used, Never Used
193,25 - 34,Female,Professional certificate/ diploma,Canada ,White,28,38,45,45,38,10.34,11.62,Used,Used,Used,Used
194,45 - 54,Female,University degree,UK,White,39,32,43,44,43,14.64,11.62,Used,Used,Used, Never Used
195,25 - 34,Female,University degree,Canada ,Mixed-White/Asian,27,48,46,43,45,16.29,7,Used,Used,Used, Never Used
196,55 - 64,Female,University degree,UK,White,42,42,51,41,48,11.46,11.62,Used,Used,Used, Never Used
197,18 - 24,Male,University degree,UK,Black,30,42,42,51,35,13.63,7,Used,Used, Never Used, Never Used
198,55 - 64,Female,University degree,UK,White,32,43,41,37,38,16.29,8.97,Used,Used, Never Used, Never Used
199,25 - 34,Female,Professional certificate/ diploma,UK,White,35,43,50,48,42,5.52,11.14,Used,Used,Used,Used
200,45 - 54,Female,Professional certificate/ diploma,UK,White,31,54,51,54,50,11.46,11.62,Used,Used,Used,Used
201,18 - 24,Female,University degree,UK,White,30,41,40,50,51,11.46,11.14,Used,Used, Never Used, Never Used
202,35 - 44,Male,Masters degree,UK,Other,34,33,42,34,50,16.29,8.97,Used,Used,Used,Used
203,35 - 44,Female,University degree,UK,White,29,48,43,49,49,13.63,8.97,Used,Used,Used, Never Used
204,65+,Male,Left school before 16 years,UK,White,22,32,29,37,37,14.64,3.77,Used,Used, Never Used, Never Used
205,25 - 34,Female,University degree,UK,White,34,46,54,43,44,18.83,13.21,Used,Used,Used,Used
206,35 - 44,Female,Left school at 16 years,UK,White,34,47,48,37,34,5.52,13.21,Used,Used, Never Used, Never Used
207,18 - 24,Female,University degree,UK,White,35,48,50,44,45,10.34,11.62,Used,Used, Never Used, Never Used
208,35 - 44,Female,Professional certificate/ diploma,UK,White,29,43,42,47,41,18.83,13.21,Used,Used,Used,Used
209,35 - 44,Female,University degree,UK,White,37,40,45,41,42,11.46,11.14,Used,Used,Used,Used
210,25 - 34,Male,Masters degree,UK,Asian,23,43,53,40,49,14.64,8.97, Never Used,Used, Never Used, Never Used
211,25 - 34,Female,Some college or university,UK,White,43,41,36,43,32,5.52,11.19,Used,Used, Never Used, Never Used
212,45 - 54,Female,Left school at 16 years,UK,White,29,36,38,50,48,14.64,3.77,Used,Used, Never Used, Never Used
213,25 - 34,Female,Professional certificate/ diploma,UK,White,37,44,40,54,46,18.83,7,Used,Used,Used, Never Used
214,45 - 54,Female,Professional certificate/ diploma,Ireland,White,41,39,37,49,43,14.64,4.62,Used,Used, Never Used, Never Used
215,25 - 34,Female,Professional certificate/ diploma,UK,White,34,47,49,51,50,13.63,11.14,Used,Used,Used, Never Used
216,25 - 34,Female,University degree,Canada ,White,51,38,41,50,39,13.63,11.62,Used,Used,Used,Used
217,25 - 34,Female,Professional certificate/ diploma,UK,White,38,47,48,52,42,10.34,11.19,Used,Used,Used,Used
218,35 - 44,Male,Professional certificate/ diploma,UK,White,48,45,49,52,29,5.52,11.19,Used,Used,Used,Used
219,25 - 34,Female,Masters degree,Other,White,39,47,40,36,47,18.83,11.19,Used,Used,Used, Never Used
220,35 - 44,Female,Some college or university,UK,White,32,36,47,50,44,14.64,8.97,Used,Used,Used,Used
221,18 - 24,Female,University degree,UK,White,44,38,48,43,43,13.63,11.62,Used,Used,Used, Never Used
222,25 - 34,Female,University degree,UK,White,34,43,43,38,48,11.46,11.19,Used,Used, Never Used, Never Used
223,35 - 44,Female,University degree,UK,White,33,44,51,50,44,7.85,11.14,Used,Used,Used,Used
224,55 - 64,Male,University degree,UK,White,25,47,44,50,48,18.83,11.62,Used,Used, Never Used, Never Used
225,45 - 54,Female,University degree,UK,White,31,49,48,46,47,18.83,11.83,Used, Never Used, Never Used, Never Used
226,35 - 44,Female,University degree,UK,White,24,44,52,40,44,14.64,4.62,Used,Used, Never Used,Used
227,45 - 54,Female,University degree,UK,White,31,43,41,52,51,18.83,8.97,Used,Used,Used, Never Used
228,18 - 24,Male,Some college or university,UK,White,38,46,39,39,46,7.85,13.21,Used,Used,Used, Never Used
229,45 - 54,Male,Masters degree,UK,White,29,42,46,38,41,13.63,11.62,Used,Used,Used,Used
230,45 - 54,Female,University degree,UK,White,26,49,47,49,52,14.64,3.77,Used,Used,Used, Never Used
231,35 - 44,Female,Professional certificate/ diploma,UK,White,46,23,33,47,45,14.64,4.62,Used,Used,Used, Never Used
232,65+,Female,Masters degree,UK,White,37,32,43,40,44,18.83,4.62,Used,Used, Never Used, Never Used
233,25 - 34,Female,University degree,UK,White,36,48,46,44,47,11.46,11.19,Used,Used, Never Used, Never Used
234,45 - 54,Male,University degree,UK,White,29,45,36,49,44,11.46,13.21,Used,Used, Never Used, Never Used
235,25 - 34,Female,University degree,UK,White,40,46,46,37,52,13.63,13.21,Used,Used,Used, Never Used
236,25 - 34,Female,Professional certificate/ diploma,UK,White,36,46,37,56,54,14.64,3.77,Used,Used, Never Used, Never Used
237,25 - 34,Female,Masters degree,UK,White,50,42,45,46,45,13.63,11.83,Used,Used, Never Used, Never Used
238,25 - 34,Female,Left school at 16 years,UK,White,45,39,30,45,50,14.64,3.77,Used,Used,Used, Never Used
239,18 - 24,Female,Left school at 18 years,UK,White,41,39,41,39,44,18.83,11.83,Used,Used, Never Used, Never Used
240,45 - 54,Female,Professional certificate/ diploma,UK,White,20,44,51,53,44,14.64,8.97,Used,Used, Never Used, Never Used
241,35 - 44,Female,Masters degree,UK,White,42,31,46,53,56,14.64,8.97,Used,Used, Never Used, Never Used
242,25 - 34,Female,Left school at 18 years,Other,White,55,31,40,48,34,13.63,7,Used,Used,Used, Never Used
243,18 - 24,Female,Some college or university,UK,White,50,29,24,48,35,14.64,4.62,Used,Used, Never Used, Never Used
244,25 - 34,Female,University degree,UK,White,30,47,51,49,48,14.64,11.83,Used,Used,Used,Used
245,35 - 44,Male,University degree,UK,White,54,29,45,50,20,16.29,11.19,Used,Used,Used, Never Used
246,25 - 34,Female,Some college or university,UK,White,33,33,34,33,31,1.06,4.62,Used,Used,Used, Never Used
247,25 - 34,Female,Professional certificate/ diploma,UK,White,49,35,37,46,37,18.83,8.97,Used, Never Used,Used, Never Used
248,45 - 54,Male,Masters degree,UK,White,27,38,38,47,52,18.83,11.19,Used,Used, Never Used, Never Used
